TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
HCAR-C57TM3,Bayong Kitchen,15951 Fraser Hwy,Surrey,Restaurant,49.15815597,-122.78024868
GEDS-7SDM3H,Wok Box (Grandview Corners),2285 160 St,Surrey,Restaurant,49.04321289,-122.78006744
GEDS-7UWV6W,The Residence at Morgan Heights - Main Kitchen,15955 27 Ave,Surrey,Restaurant,49.05117798,-122.77987671
SDFO-8AULF9,7-Eleven #34633,15961 Fraser Hwy,Surrey,Restaurant,49.15789413,-122.77936554
HCAR-BETMLH,Curry Lounge,16030 24 Ave,Surrey,Restaurant,49.04521942,-122.77797699
LCAL-64WQUJ,Fleetwood Place Food Service,16011 83rd Ave,Surrey,Restaurant,49.15378571,-122.77799225
HCAR-CAMSU3,I Am Pho (Surrey),16070 24th Ave,Surrey,Restaurant,49.04552959,-122.77767848
HCAR-AUQP2U,Fatburger at Grandview Corner,16070 24 Ave,Surrey,Restaurant,49.04520035,-122.77735138
SWOD-AHPVGB,Spinhouse Cycling Studio,16041 24 Ave,Surrey,Restaurant,49.0463028,-122.77770233
GEDS-775L8C,Holy Cross Regional Secondary School,16193 88 Ave,Surrey,Restaurant,49.16295242,-122.77380371
GEDS-7X3VKR,Calvary Christian Church,16293 104 Ave,Surrey,Restaurant,49.19200516,-122.77082062
HCAR-AU2VFF,Glenwood Pizza & Curry House,16793 60 Ave,Surrey,Restaurant,49.11167526,-122.75748444
GEDS-7ZPMT4,Otter Gas Bar @ Surrey,16788 104 Ave,Surrey,Restaurant,49.19146729,-122.75688934
HCAR-BFBPNN,Boothroyd Heritage Coffee,16811 60 Ave,Surrey,Restaurant,49.11169815,-122.75632477
A019528    ,Peace Portal Golf Course Restaurant,16900 4 Ave,Surrey,Restaurant,49.00906754,-122.75300598
ACAK-8W6LMA,Into Chocolate Candy & Confections,17449 Hwy 10,Surrey,Restaurant,49.10436925,-122.73987659
GEDS-7NQ2E6,Bethshan Gardens,17528 59 Ave,Surrey,Restaurant,49.10942841,-122.73727417
