TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
A017919    ,Little Caesars Pizza #456-006,Surrey,8888 152A St,-122.79941559,49.16418076,514622.963119399,5445726.603906645
NDAA-8QSTSA,Prairie Cafe,Surrey,15280 Fraser Hwy,-122.79917145,49.16505051,514640.50493875885,5445823.339743964
SHEN-9UJU2N,Save On Foods #918 - Kitchen,Surrey,9014 152 St,-122.79924011,49.16697311,514634.9329658632,5446037.058780235
SWOD-9Z3M5P,Sashimi & Sushi Express,Surrey,15277 100 Ave,-122.79878998,49.18444061,514662.5860786835,5447978.982638001
SPLH-9P2P7K,Lee Gar Nei K-Food,Surrey,15280 101 Ave,-122.79860687,49.18597412,514675.4761587371,5448149.4964935
NDAA-94XQKE,Domino's Pizza #10037,Surrey,15335 No 10 Hwy,-122.79808571,49.1046896,514737.53918289207,5439113.362648103
HCAR-C36NV2,Alberto's Pizza,Surrey,15355 24th Ave,-122.79750443,49.04583671,514797.43702040013,5432570.999333099
HCAR-C4XRE3,Quesada Burritos & Tacos (24th Ave),Surrey,15355 24th Ave,-122.79750443,49.04583671,514797.43702040013,5432570.999333099
SPLH-ASUT3X,Yamako Japanese Restaurant,Surrey,15355 24 Ave,-122.79750824,49.0458374,514797.15839869896,5432571.075294534
GEDS-7ZLTQN,A&W #0573,Surrey,15280 No 10 Hwy,-122.79782399,49.1041757,514756.79425584315,5439056.28475549
LCAL-6TFPM4,Tap Urban Cafe & Lounge,Surrey,15350 34 Ave,-122.79698944,49.06361008,514829.7822120508,5434546.898202271
A019251    ,Panago #32,Surrey,15420 Fraser Hwy,-122.79556274,49.16358948,514904.0200702421,5445661.623413623
GEDS-78Z28W,Toyota Cafe,Surrey,15389 Guildford Dr,-122.79506683,49.19677353,514930.1877827865,5449350.74682673
GEDS-7D3TRN,Golden Lion Restaurant,Surrey,2377 King George Blvd,-122.79332733,49.04494858,515102.94889214507,5432473.092593721
PGOO-68ZPWN,Sunnyside Esso,Surrey,2360 King George Blvd,-122.79246751,49.04510073,515165.73536106176,5432490.178028971
